dataset,codec,variant,acc_percent,map_percent,acc_percent_ci95_lower,acc_percent_ci95_upper,map_percent_ci95_lower,map_percent_ci95_upper,num_queries,model_type,bootstrap_samples,quality_flag,file
afrinames,LanguageCodec,bandwidth_1,100.0,100.0,100.0,100.0,100.0,100.0,67,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_LanguageCodec_bandwidth_1_acc_map.json
afrinames,LanguageCodec,bandwidth_2,100.0,100.0,100.0,100.0,100.0,100.0,67,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_LanguageCodec_bandwidth_2_acc_map.json
afrinames,LanguageCodec,bandwidth_3,100.0,100.0,100.0,100.0,100.0,100.0,67,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_LanguageCodec_bandwidth_3_acc_map.json
afrinames,SemantiCodec,0.31kbps,88.0,92.66984126984126,82.66666666666667,92.0,89.4643253968254,95.4922619047619,150,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_SemantiCodec_0.31kbps_acc_map.json
afrinames,SemantiCodec,0.33kbps,87.33333333333333,92.07777777777778,81.33333333333333,92.0,88.4661111111111,95.00138888888888,150,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_SemantiCodec_0.33kbps_acc_map.json
afrinames,SemantiCodec,0.63kbps,94.0,96.22905982905982,90.0,98.0,93.62905982905983,98.6068376068376,150,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_SemantiCodec_0.63kbps_acc_map.json
afrinames,SemantiCodec,0.68kbps,96.0,97.62222222222222,92.66666666666666,98.66666666666667,95.95277777777778,99.33333333333333,150,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_SemantiCodec_0.68kbps_acc_map.json
afrinames,SemantiCodec,1.25kbps,97.33333333333334,98.44444444444443,94.66666666666667,99.33333333333333,96.99722222222222,99.66666666666667,150,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_SemantiCodec_1.25kbps_acc_map.json
afrinames,SemantiCodec,1.40kbps,96.66666666666667,98.33333333333333,93.98333333333333,99.33333333333333,96.99166666666666,99.66666666666667,150,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_SemantiCodec_1.40kbps_acc_map.json
afrinames,UniCodec,out_6.6kbps,100.0,100.0,100.0,100.0,100.0,100.0,150,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_UniCodec_out_6.6kbps_acc_map.json
afrinames,WavTokenizer,WavTokenizer_large-speech-75token,100.0,100.0,100.0,100.0,100.0,100.0,150,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_WavTokenizer_WavTokenizer_large-speech-75token_acc_map.json
afrinames,WavTokenizer,WavTokenizer_large-unify-40token,94.66666666666667,97.22222222222221,91.33333333333333,98.0,95.44166666666668,99.0,150,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_WavTokenizer_WavTokenizer_large-unify-40token_acc_map.json
afrinames,WavTokenizer,WavTokenizer_medium-music-audio-75token,98.0,99.0,95.33333333333334,100.0,97.66666666666667,100.0,150,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_WavTokenizer_WavTokenizer_medium-music-audio-75token_acc_map.json
afrinames,WavTokenizer,WavTokenizer_medium-speech-75token,100.0,100.0,100.0,100.0,100.0,100.0,150,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_WavTokenizer_WavTokenizer_medium-speech-75token_acc_map.json
afrinames,WavTokenizer,WavTokenizer_small-320-24k-4096,97.33333333333334,98.55555555555554,94.65,99.33333333333333,96.99444444444444,99.66666666666667,150,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_WavTokenizer_WavTokenizer_small-320-24k-4096_acc_map.json
afrinames,WavTokenizer,WavTokenizer_small-600-24k-4096,88.0,93.88888888888887,83.31666666666668,92.66666666666666,91.54999999999998,96.11388888888888,150,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_WavTokenizer_WavTokenizer_small-600-24k-4096_acc_map.json
afrispeech_dialog,DAC,out_16kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_DAC_out_16kbps_acc_map.json
afrispeech_dialog,DAC,out_24kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_DAC_out_24kbps_acc_map.json
afrispeech_dialog,DAC,out_8kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_DAC_out_8kbps_acc_map.json
afrispeech_dialog,Encodec,out_12kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_Encodec_out_12kbps_acc_map.json
afrispeech_dialog,Encodec,out_24kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_Encodec_out_24kbps_acc_map.json
afrispeech_dialog,Encodec,out_3kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_Encodec_out_3kbps_acc_map.json
afrispeech_dialog,Encodec,out_6kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_Encodec_out_6kbps_acc_map.json
afrispeech_dialog,FocalCodec,focalcodec_12_5hz,30.612244897959183,42.46131115397243,18.367346938775512,42.857142857142854,32.25862853554061,53.79757853112328,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_FocalCodec_focalcodec_12_5hz_acc_map.json
afrispeech_dialog,FocalCodec,focalcodec_25hz,42.857142857142854,58.06150482170891,32.60204081632653,57.14285714285714,49.03948007774538,68.73425235478807,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_FocalCodec_focalcodec_25hz_acc_map.json
afrispeech_dialog,FocalCodec,focalcodec_50hz_2k_causal,20.408163265306122,35.66693227407512,10.204081632653061,32.6530612244898,26.94710405807345,46.63178601443907,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_FocalCodec_focalcodec_50hz_2k_causal_acc_map.json
afrispeech_dialog,FocalCodec,focalcodec_50hz_4k_causal,22.448979591836736,40.80291492004003,12.244897959183673,36.734693877551024,31.238890201290374,52.065660419143114,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_FocalCodec_focalcodec_50hz_4k_causal_acc_map.json
afrispeech_dialog,FocalCodec,focalcodec_50hz_65k_causal,22.448979591836736,41.12738168860617,10.204081632653061,36.734693877551024,32.04355232352681,51.31327027564272,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_FocalCodec_focalcodec_50hz_65k_causal_acc_map.json
afrispeech_dialog,FocalCodec,focalcodec_50hz,46.93877551020408,59.70172684458399,34.69387755102041,59.234693877551024,50.59972340584585,70.10519922254616,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_FocalCodec_focalcodec_50hz_acc_map.json
afrispeech_dialog,LanguageCodec,bandwidth_0,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_LanguageCodec_bandwidth_0_acc_map.json
afrispeech_dialog,LanguageCodec,bandwidth_1,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_LanguageCodec_bandwidth_1_acc_map.json
afrispeech_dialog,LanguageCodec,bandwidth_2,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_LanguageCodec_bandwidth_2_acc_map.json
afrispeech_dialog,LanguageCodec,bandwidth_3,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_LanguageCodec_bandwidth_3_acc_map.json
afrispeech_dialog,SemantiCodec,0.31kbps,85.71428571428571,92.85714285714286,75.51020408163265,95.91836734693877,87.75510204081633,97.95918367346938,49,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_SemantiCodec_0.31kbps_acc_map.json
afrispeech_dialog,SemantiCodec,0.33kbps,85.71428571428571,92.51700680272108,75.51020408163265,95.91836734693877,87.06632653061223,97.95918367346938,49,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_SemantiCodec_0.33kbps_acc_map.json
afrispeech_dialog,SemantiCodec,0.63kbps,87.75510204081633,93.87755102040816,79.59183673469387,95.96938775510205,89.79591836734694,97.98469387755102,49,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_SemantiCodec_0.63kbps_acc_map.json
afrispeech_dialog,SemantiCodec,0.68kbps,89.79591836734694,94.89795918367348,81.63265306122449,97.95918367346938,90.81632653061224,98.9795918367347,49,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_SemantiCodec_0.68kbps_acc_map.json
afrispeech_dialog,SemantiCodec,1.25kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_SemantiCodec_1.25kbps_acc_map.json
afrispeech_dialog,SemantiCodec,1.40kbps,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_SemantiCodec_1.40kbps_acc_map.json
afrispeech_dialog,UniCodec,out_6.6kbps,6.122448979591836,21.85769587555302,0.0,16.3265306122449,16.73229888025806,30.368220746090646,49,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_UniCodec_out_6.6kbps_acc_map.json
afrispeech_dialog,WavTokenizer,WavTokenizer_large-speech-75token,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_WavTokenizer_WavTokenizer_large-speech-75token_acc_map.json
afrispeech_dialog,WavTokenizer,WavTokenizer_large-unify-40token,97.95918367346938,98.9795918367347,93.87755102040816,100.0,96.93877551020408,100.0,49,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_WavTokenizer_WavTokenizer_large-unify-40token_acc_map.json
afrispeech_dialog,WavTokenizer,WavTokenizer_medium-music-audio-75token,97.95918367346938,98.9795918367347,93.82653061224491,100.0,96.91326530612244,100.0,49,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_WavTokenizer_WavTokenizer_medium-music-audio-75token_acc_map.json
afrispeech_dialog,WavTokenizer,WavTokenizer_medium-speech-75token,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_WavTokenizer_WavTokenizer_medium-speech-75token_acc_map.json
afrispeech_dialog,WavTokenizer,WavTokenizer_small-320-24k-4096,100.0,100.0,100.0,100.0,100.0,100.0,49,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_WavTokenizer_WavTokenizer_small-320-24k-4096_acc_map.json
afrispeech_dialog,WavTokenizer,WavTokenizer_small-600-24k-4096,93.87755102040816,96.5986394557823,85.71428571428571,100.0,92.17687074829931,100.0,49,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_dialog_WavTokenizer_WavTokenizer_small-600-24k-4096_acc_map.json
afrispeech_multilingual,DAC,out_16kbps,100.0,100.0,100.0,100.0,100.0,100.0,8,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_DAC_out_16kbps_acc_map.json
afrispeech_multilingual,DAC,out_24kbps,100.0,100.0,100.0,100.0,100.0,100.0,8,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_DAC_out_24kbps_acc_map.json
afrispeech_multilingual,DAC,out_8kbps,100.0,100.0,100.0,100.0,100.0,100.0,8,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_DAC_out_8kbps_acc_map.json
afrispeech_multilingual,Encodec,out_12kbps,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_Encodec_out_12kbps_acc_map.json
afrispeech_multilingual,Encodec,out_24kbps,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_Encodec_out_24kbps_acc_map.json
afrispeech_multilingual,Encodec,out_3kbps,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_Encodec_out_3kbps_acc_map.json
afrispeech_multilingual,Encodec,out_6kbps,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_Encodec_out_6kbps_acc_map.json
afrispeech_multilingual,FocalCodec,focalcodec_12_5hz,4.0,11.966084510960922,0.0,9.0,8.109484284857443,16.82889065482595,100,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_FocalCodec_focalcodec_12_5hz_acc_map.json
afrispeech_multilingual,FocalCodec,focalcodec_25hz,9.0,22.825554407667813,3.9750000000000005,15.0,17.38682660872442,28.471442656155165,100,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_FocalCodec_focalcodec_25hz_acc_map.json
afrispeech_multilingual,FocalCodec,focalcodec_50hz_2k_causal,7.000000000000001,15.6515731018357,3.0,13.0,10.802541468916921,20.81896962796407,100,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_FocalCodec_focalcodec_50hz_2k_causal_acc_map.json
afrispeech_multilingual,FocalCodec,focalcodec_50hz_4k_causal,5.0,16.582533922830876,1.0,10.0,12.076205074960992,21.79840279175492,100,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_FocalCodec_focalcodec_50hz_4k_causal_acc_map.json
afrispeech_multilingual,FocalCodec,focalcodec_50hz_65k_causal,9.0,19.805608961168307,4.0,15.025000000000006,14.450632053527285,26.07098346253096,100,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_FocalCodec_focalcodec_50hz_65k_causal_acc_map.json
afrispeech_multilingual,FocalCodec,focalcodec_50hz,25.0,41.483616928353776,16.0,33.0,34.53420420485552,47.60103065841224,100,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_FocalCodec_focalcodec_50hz_acc_map.json
afrispeech_multilingual,LanguageCodec,bandwidth_0,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_LanguageCodec_bandwidth_0_acc_map.json
afrispeech_multilingual,LanguageCodec,bandwidth_1,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_LanguageCodec_bandwidth_1_acc_map.json
afrispeech_multilingual,LanguageCodec,bandwidth_2,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_LanguageCodec_bandwidth_2_acc_map.json
afrispeech_multilingual,LanguageCodec,bandwidth_3,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_LanguageCodec_bandwidth_3_acc_map.json
afrispeech_multilingual,SemantiCodec,0.31kbps,97.0,98.5,93.0,100.0,96.5,100.0,100,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_SemantiCodec_0.31kbps_acc_map.json
afrispeech_multilingual,SemantiCodec,0.33kbps,99.0,99.5,96.0,100.0,98.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_SemantiCodec_0.33kbps_acc_map.json
afrispeech_multilingual,SemantiCodec,0.63kbps,98.0,98.83333333333334,94.975,100.0,96.83333333333334,100.0,100,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_SemantiCodec_0.63kbps_acc_map.json
afrispeech_multilingual,SemantiCodec,0.68kbps,96.0,97.66666666666667,91.0,99.0,94.82499999999999,99.5,100,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_SemantiCodec_0.68kbps_acc_map.json
afrispeech_multilingual,SemantiCodec,1.25kbps,99.0,99.5,96.975,100.0,98.4875,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_SemantiCodec_1.25kbps_acc_map.json
afrispeech_multilingual,SemantiCodec,1.40kbps,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_SemantiCodec_1.40kbps_acc_map.json
afrispeech_multilingual,UniCodec,out_6.6kbps,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_UniCodec_out_6.6kbps_acc_map.json
afrispeech_multilingual,WavTokenizer,WavTokenizer_large-speech-75token,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_WavTokenizer_WavTokenizer_large-speech-75token_acc_map.json
afrispeech_multilingual,WavTokenizer,WavTokenizer_large-unify-40token,90.0,93.26666666666667,85.0,95.0,89.6625,96.86666666666666,100,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_WavTokenizer_WavTokenizer_large-unify-40token_acc_map.json
afrispeech_multilingual,WavTokenizer,WavTokenizer_medium-music-audio-75token,99.0,99.33333333333334,96.975,100.0,97.98333333333332,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_WavTokenizer_WavTokenizer_medium-music-audio-75token_acc_map.json
afrispeech_multilingual,WavTokenizer,WavTokenizer_medium-speech-75token,100.0,100.0,100.0,100.0,100.0,100.0,100,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_WavTokenizer_WavTokenizer_medium-speech-75token_acc_map.json
afrispeech_multilingual,WavTokenizer,WavTokenizer_small-320-24k-4096,96.0,97.66666666666667,91.97500000000001,99.0,95.0,99.5,100,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_WavTokenizer_WavTokenizer_small-320-24k-4096_acc_map.json
afrispeech_multilingual,WavTokenizer,WavTokenizer_small-600-24k-4096,93.0,95.80952380952381,87.0,97.0,91.73452380952382,98.00357142857142,100,mfcc,200,moderate,results/ACC_MAP_v2/metrics_20260216_215231/afrispeech_multilingual_WavTokenizer_WavTokenizer_small-600-24k-4096_acc_map.json
